city,population,lat,lon,region_name,federal_district,foundation_year,area
Белореченск,51.6,44.7651876,39.8781494,Краснодарский край,Южный,1862,38.48
Геленджик,76.8,44.5630007,38.0790852,Краснодарский край,Южный,1831,27.9
Горячий Ключ,40.3,44.6344864,39.1354738,Краснодарский край,Южный,1868,20.77
Гулькевичи,34.3,45.3605121,40.6918389,Краснодарский край,Южный,1875,20.84
Ейск,83.1,46.71157,38.2763895,Краснодарский край,Южный,1848,144
Краснодар,932.6,45.0401604,38.9759647,Краснодарский край,Южный,1793,339.31
Крымск,57.9,44.9344404,37.9855795,Краснодарский край,Южный,1862,91.76
Курганинск,48.2,44.8877025,40.5913245,Краснодарский край,Южный,1855,43.97
Лабинск,59.3,44.6354363,40.7245341,Краснодарский край,Южный,1841,46.41
Новокубанск,35.2,45.1038699,41.0475175,Краснодарский край,Южный,1867,27.97
Новороссийск,275,44.7235026,37.7686135,Краснодарский край,Южный,1838,81.1
Приморско-Ахтарск,32.3,46.0515432,38.1704875,Краснодарский край,Южный,1854,18.69
Славянск-на-Кубани,67.9,45.2603626,38.1259774,Краснодарский край,Южный,1865,43.5
Сочи,443.6,43.5854551,39.7231548,Краснодарский край,Южный,1838,176.77
Темрюк,41.4,45.2610949,37.4454412,Краснодарский край,Южный,1860,20.1
Тимашевск,50.8,45.615923,38.9351837,Краснодарский край,Южный,1794,30
Тихорецк,57.1,45.8546345,40.1260267,Краснодарский край,Южный,1895,78.05
Туапсе,61.2,44.1105335,39.0824904,Краснодарский край,Южный,1838,33.41
Усть-Лабинск,39.5,45.2227359,39.6929577,Краснодарский край,Южный,1794,37.15
Хадыженск,22.2,44.4122963,39.5320258,Краснодарский край,Южный,1864,17
Ачинск,105.5,56.253907,90.4794397,Красноярский край,Сибирский,1683,103.21
Боготол,19.6,56.2098468,89.5299336,Красноярский край,Сибирский,1893,62.81
Дивногорск,29.2,55.9576784,92.3800687,Красноярский край,Сибирский,1956,56.6
Дудинка,20.8,69.4031364,86.1907218,Красноярский край,Сибирский,1667,10.5
Енисейск,17.8,58.4485261,92.1651083,Красноярский край,Сибирский,1619,66.41
Железногорск (Красноярский край),82.6,56.2529035,93.532273,Красноярский край,Сибирский,1957,456.6
Железногорск (Курская обл.),100.4,52.3380202,35.3516867,Курская область,Центральный,1950,112
Зеленогорск,61.6,56.1131564,94.5888103,Красноярский край,Сибирский,1956,162
Кодинск,15.7,58.6032644,99.1797962,Красноярский край,Сибирский,1977,27
Красноярск,1093.8,56.0093879,92.8524806,Красноярский край,Сибирский,1628,379.5
Лесосибирск,59.3,58.221681,92.5037872,Красноярский край,Сибирский,1975,277
Минусинск,67.9,53.7104586,91.6872907,Красноярский край,Сибирский,1739,60.5
Норильск,181.8,69.3489978,88.2009846,Красноярский край,Сибирский,1935,30.14
Ужур,15.3,55.3141969,89.8333918,Красноярский край,Сибирский,1760,38.9
Шарыпово,36.7,55.5389739,89.1801044,Красноярский край,Сибирский,1700,30
Курган,312.4,55.4443883,65.3161963,Курганская область,Уральский,1679,394
Шадринск,74.7,56.0870344,63.6297182,Курганская область,Уральский,1662,171.5324
Курск,453,51.7303637,36.1925603,Курская область,Центральный,1032,208.2
Курчатов,38.1,51.6604083,35.6572224,Курская область,Центральный,1968,56.5
Льгов,18.1,51.6597148,35.2612491,Курская область,Центральный,1152,37.4
Бокситогорск,15.1,59.4734797,33.845688,Ленинградская область,Северо-Западный,1929,13
Волхов,44.3,59.9005958,32.3520756,Ленинградская область,Северо-Западный,1918,108
Всеволожск,74.7,60.0191278,30.6456718,Ленинградская область,Северо-Западный,1892,62.264
Выборг,75.4,60.7130801,28.7328336,Ленинградская область,Северо-Западный,1293,160.847
Гатчина,91.7,59.565237,30.1282473,Ленинградская область,Северо-Западный,1499,28.75
Кингисепп,45.2,59.3740435,28.6112444,Ленинградская область,Северо-Западный,1384,44.03
Кириши,50.5,59.4742862,32.0624947,Ленинградская область,Северо-Западный,1693,63.34
Кировск,26.9,59.8754216,30.981364,Ленинградская область,Северо-Западный,1931,84.9
Кудрово,41.1,59.9075226,30.5121008,Ленинградская область,Северо-Западный,1926,5
Луга,34.6,58.7374031,29.8465776,Ленинградская область,Северо-Западный,1777,13
Мурино,64.9,60.044862,30.4571456,Ленинградская область,Северо-Западный,1676,13.36
Пикалево,19.7,59.5132022,34.1772776,Ленинградская область,Северо-Западный,1927,38
Подпорожье,16.7,60.9127549,34.1567664,Ленинградская область,Северо-Западный,1936,30
Приозерск,17.8,61.0330896,30.1587851,Ленинградская область,Северо-Западный,1100,16.5
Светогорск,15.2,61.1111282,28.8725865,Ленинградская область,Северо-Западный,1887,49.54
Сертолово,56.6,60.1446932,30.2095918,Ленинградская область,Северо-Западный,1936,27.49
Сланцы,32.2,59.1178185,28.0881475,Ленинградская область,Северо-Западный,1934,36
Сосновый Бор,67.7,59.8772884,29.1291619,Ленинградская область,Северо-Западный,1958,88
Тихвин,58.1,59.6272904,33.5072731,Ленинградская область,Северо-Западный,1383,25.4
Грязи,46.7,52.4874097,39.9331142,Липецкая область,Центральный,1868,33
Данков,18.7,53.2577411,39.1456184,Липецкая область,Центральный,1563,21
Елец,102.3,52.6152411,38.5289342,Липецкая область,Центральный,1146,71
Липецк,508.6,52.610249,39.5947883,Липецкая область,Центральный,1703,330.15
Магадан,92.1,59.5681332,150.8084956,Магаданская область,Дальневосточный,1929,295
Москва,12655.1,55.7540471,37.620405,Москва,Центральный,1147,2561.5
Апрелевка,30.7,55.5276918,37.065143,Московская область,Центральный,1899,29
Балашиха,507.4,55.796389,37.938283,Московская область,Центральный,1830,67.4848
Бронницы,22.5,55.4255379,38.264145,Московская область,Центральный,1453,22.16
Видное,77,55.551725,37.7061984,Московская область,Центральный,1949,16.1
Волоколамск,18.4,56.0356499,35.9585112,Московская область,Центральный,1135,30
Воскресенск,92.9,55.3071519,38.7027953,Московская область,Центральный,1862,38.78
Голицыно,17.5,55.6190582,36.9856793,Московская область,Центральный,1872,20
Дедовск,30.5,55.8703276,37.1245043,Московская область,Центральный,1911,7
Дзержинский,56.4,55.6240869,37.8440276,Московская область,Центральный,1380,16
Дмитров,68.8,56.3477457,37.526672,Московская область,Центральный,1154,26
Долгопрудный,116,55.9385999,37.5101021,Московская область,Центральный,1931,30.52
Дубна,75,56.741786,37.1757223,Московская область,Центральный,1956,63.15
Егорьевск,72.8,55.3830113,39.0358317,Московская область,Центральный,1462,29
Жуковский,107.6,55.599803,38.1224298,Московская область,Центральный,1935,47.29
Зарайск,22.8,54.762456,38.8850978,Московская область,Центральный,1146,20.5
Звенигород,22.3,55.7297089,36.8554029,Московская область,Центральный,1152,48.1
Ивантеевка,81.3,55.9741665,37.9207539,Московская область,Центральный,1564,14.59
Кашира,47.4,54.853337,38.1904392,Московская область,Центральный,1356,26.35
Клин,79.7,56.3425605,36.7240032,Московская область,Центральный,1317,42
Коломна,140.1,55.102814,38.7531002,Московская область,Центральный,1177,65.1
Королев,225.9,55.9161773,37.8545415,Московская область,Центральный,1938,36
Котельники,49,55.6597925,37.8631156,Московская область,Центральный,1600,14.24
Красноармейск,26.3,56.105426,38.140838,Московская область,Центральный,1928,156.43
Красногорск,175.6,55.8317203,37.3295266,Московская область,Центральный,1932,25.65
Кубинка,20.1,55.5754955,36.6951995,Московская область,Центральный,1400,4
Куровское,20.6,55.5792277,38.9207723,Московская область,Центральный,1646,9
Ликино-Дулево,28.8,55.7078257,38.9578093,Московская область,Центральный,1930,14
Лобня,90.2,56.0328881,37.4614035,Московская область,Центральный,1902,31.56
Лосино-Петровский,25.4,55.8713214,38.200599,Московская область,Центральный,1708,9.16
Луховицы,30.4,54.9652077,39.0260266,Московская область,Центральный,1594,16.1
Лыткарино,59.2,55.5778163,37.9033507,Московская область,Центральный,1429,17.29
Люберцы,205.3,55.7003989,37.9606238,Московская область,Центральный,1623,12.87
Можайск,30.1,55.5069259,36.024043,Московская область,Центральный,1231,17.8
Мытищи,235.5,55.9105782,37.7363579,Московская область,Центральный,1460,34.59
Наро-Фоминск,64.9,55.386185,36.734484,Московская область,Центральный,1840,22
Ногинск,104,55.8686133,38.4622104,Московская область,Центральный,1389,43.348
Одинцово,135.5,55.6789455,37.263686,Московская область,Центральный,1470,19.6
Озеры,24.7,54.8541006,38.5599196,Московская область,Центральный,1834,12
Орехово-Зуево,118.3,55.8151421,38.9869822,Московская область,Центральный,1917,36.38
Павловский Посад,63.6,55.7807244,38.6596983,Московская область,Центральный,1328,39
Подольск,308.1,55.4389322,37.5703482,Московская область,Центральный,1559,40.39
Протвино,35.4,54.8705984,37.2182749,Московская область,Центральный,1960,26.69
Пушкино,107.6,56.0103638,37.8471403,Московская область,Центральный,1499,60.33
Пущино,20.7,54.8324412,37.6210346,Московская область,Центральный,1956,18.23
Раменское,121.9,55.5495132,38.2728914,Московская область,Центральный,1328,59.46
Рошаль,20,55.6632776,39.8656147,Московская область,Центральный,1916,35
Сергиев Посад,100.3,56.3062548,38.1502661,Московская область,Центральный,1337,50.4
Серпухов,126.3,54.9226466,37.4033859,Московская область,Центральный,1339,32.1
Солнечногорск,50.2,56.185102,36.977631,Московская область,Центральный,1700,21
Старая Купавна,24.2,55.810648,38.175624,Московская область,Центральный,1300,10.62
Ступино,65.9,54.886274,38.078228,Московская область,Центральный,1938,35.5
Фрязино,59.5,55.9590588,38.0410235,Московская область,Центральный,1584,9
Химки,259.6,55.888657,37.4303702,Московская область,Центральный,1850,109.8
Хотьково,21.3,56.2516982,37.9396017,Московская область,Центральный,1308,11
Черноголовка,21.3,56.0100707,38.3792047,Московская область,Центральный,1710,2.023
Чехов,72.3,55.1508011,37.4533252,Московская область,Центральный,1175,23
Шатура,32,55.5777427,39.5445712,Московская область,Центральный,1423,36
Щелково,126.1,55.9233801,37.9783707,Московская область,Центральный,1500,52
Электрогорск,22.7,55.8780241,38.7806752,Московская область,Центральный,1912,39.81
Электросталь,156,55.7847291,38.4447045,Московская область,Центральный,1916,51.45
Электроугли,21.3,55.7170877,38.2192563,Московская область,Центральный,1899,4.5
Апатиты,54.7,67.5677761,33.4067929,Мурманская область,Северо-Западный,1926,37.5
Кандалакша,30.4,67.1567974,32.4143218,Мурманская область,Северо-Западный,1517,31
Кировск,26,67.6150424,33.663735,Мурманская область,Северо-Западный,1929,84.9
Ковдор,16.3,67.5661417,30.4741941,Мурманская область,Северо-Западный,1953,8
Мончегорск,41.2,67.9386153,32.9359719,Мурманская область,Северо-Западный,1937,36.5
Мурманск,287.8,69.007721,33.0685865,Мурманская область,Северо-Западный,1916,168.14
Оленегорск,20.3,68.1422058,33.2669407,Мурманская область,Северо-Западный,1949,38.8
Полярный,17.5,69.1989583,33.4508591,Мурманская область,Северо-Западный,1896,358.05
Североморск,53.6,69.0766801,33.4177759,Мурманская область,Северо-Западный,1896,60
Арзамас,104,55.3945814,43.8408141,Нижегородская область,Приволжский,1552,34.32
Балахна,48.5,56.495036,43.5758423,Нижегородская область,Приволжский,1474,48
Бор,76.9,56.3565458,44.0646481,Нижегородская область,Приволжский,1300,147
Выкса,53,55.3207727,42.1678834,Нижегородская область,Приволжский,1500,34
Городец,29.7,56.6449218,43.4723104,Нижегородская область,Приволжский,1152,124.2
Дзержинск,229,56.2376047,43.4599416,Нижегородская область,Приволжский,1606,421
Кстово,67.8,56.1432084,44.1664198,Нижегородская область,Приволжский,1300,59
Кулебаки,31.8,55.4296181,42.5125538,Нижегородская область,Приволжский,1677,14
Лысково,21.1,56.0262359,45.035771,Нижегородская область,Приволжский,1410,12
Нижний Новгород,1252.2,56.3240627,44.0053913,Нижегородская область,Приволжский,1221,410
Павлово,56.7,55.9797564,43.0995042,Нижегородская область,Приволжский,1566,39
Саров,96.1,54.9228268,43.3448089,Нижегородская область,Приволжский,1691,249
Сергач,19.9,55.5201515,45.4813231,Нижегородская область,Приволжский,1649,20
Шахунья,19.7,57.6764293,46.6129009,Нижегородская область,Приволжский,1912,18
Боровичи,49,58.3840197,33.9175929,Новгородская область,Северо-Западный,1400,45
Великий Новгород,224.9,58.5213846,31.2755394,Новгородская область,Северо-Западный,930,90.08
Старая Русса,27.7,57.990737,31.3554897,Новгородская область,Северо-Западный,1167,18.54
Барабинск,28.7,55.35146,78.3464506,Новосибирская область,Сибирский,1893,69.48
Бердск,104.3,54.7582156,83.1070605,Новосибирская область,Сибирский,1716,67
Болотное,15.5,55.6692421,84.3906889,Новосибирская область,Сибирский,1805,59
Искитим,56,54.6267603,83.2951244,Новосибирская область,Сибирский,1717,29.9
Куйбышев,43.5,55.4685094,78.3242048,Новосибирская область,Сибирский,1722,109.73
Новосибирск,1625.6,55.028191,82.9211489,Новосибирская область,Сибирский,1893,502.7
Обь,29.9,54.9945576,82.6937181,Новосибирская область,Сибирский,1934,22
Татарск,23.4,55.2146167,75.9739914,Новосибирская область,Сибирский,1894,80
Тогучин,20.8,55.2251631,84.4104118,Новосибирская область,Сибирский,1867,81
Черепаново,19.1,54.2206476,83.3724521,Новосибирская область,Сибирский,1912,20
Исилькуль,22.4,54.9096002,71.2816284,Омская область,Сибирский,1895,39
Калачинск,22.6,55.0598155,74.5653644,Омская область,Сибирский,1952,24
Омск,1154.5,54.9848566,73.3674517,Омская область,Сибирский,1716,566.9
Абдулино,18.6,53.6778906,53.6472483,Оренбургская область,Приволжский,1795,47
Бугуруслан,48.5,53.6523728,52.4326853,Оренбургская область,Приволжский,1748,76
Бузулук,86.1,52.7881277,52.2624877,Оренбургская область,Приволжский,1736,54
Гай,33.8,51.4649189,58.4436875,Оренбургская область,Приволжский,1959,62.14
Кувандык,23.3,51.4783857,57.3612636,Оренбургская область,Приволжский,1800,42.06
Медногорск,24.6,51.4037617,57.583163,Оренбургская область,Приволжский,1933,91.33
Новотроицк,83.7,51.1964202,58.3018192,Оренбургская область,Приволжский,1920,352.34
Оренбург,572.2,51.7875092,55.1018828,Оренбургская область,Приволжский,1743,258.57
Орск,226.5,51.2294282,58.4752777,Оренбургская область,Приволжский,1735,621.33
Соль-Илецк,26.9,51.1633736,54.9896726,Оренбургская область,Приволжский,1754,180
Сорочинск,27.1,52.426685,53.1542745,Оренбургская область,Приволжский,1737,55.93
Ясный,15.3,51.036838,59.874344,Оренбургская область,Приволжский,1961,67
Ливны,47.2,52.4284558,37.6039506,Орловская область,Центральный,1586,32.1
Мценск,36.6,53.2788438,36.5749105,Орловская область,Центральный,1146,20.81
Орел,308.8,52.9671298,36.0696427,Орловская область,Центральный,1566,121
Заречный,65.5,53.1960836,45.1689907,Пензенская область,Приволжский,1958,29
Кузнецк,80.5,53.1130888,46.605092,Пензенская область,Приволжский,1699,42.08
Нижний Ломов,20.5,53.5300905,43.6730217,Пензенская область,Приволжский,1636,14
Пенза,520.3,53.1753314,45.0348625,Пензенская область,Приволжский,1663,304.56
Сердобск,30.9,52.4697595,44.2122414,Пензенская область,Приволжский,1698,42
Березники,139.2,59.4079923,56.8039427,Пермский край,Приволжский,1623,431.1
Губаха,19.1,58.8371721,57.554533,Пермский край,Приволжский,1755,58
Краснокамск,52.5,58.0822065,55.7479936,Пермский край,Приволжский,1929,95.8
Кудымкар,30.4,59.0167925,54.6572508,Пермский край,Приволжский,1579,25.3
Кунгур,64.9,57.4283296,56.9438656,Пермский край,Приволжский,1663,68.7
