Id,Имя,Выжил,Класс,Пол,Возраст,БратьяИСупруги,РодителиИДети,ЦенаБилета,ПортПосадки
82,Jan Baptist Sheerlinck,1,3,муж,29,0,0,9.5,Саутгемптон
83,Brigdet Delia McDermott,1,3,жен,,0,0,7.7875,Квинстаун
84,Francisco M Carrau,0,1,муж,28,0,0,47.1,Саутгемптон
85,Bertha Ilett,1,2,жен,17,0,0,10.5,Саутгемптон
86,Karl Alfred Backstrom,1,3,жен,33,3,0,15.85,Саутгемптон
87,William Neal Ford,0,3,муж,16,1,3,34.375,Саутгемптон
88,Selman Francis Slocovski,0,3,муж,,0,0,8.05,Саутгемптон
89,Mabel Helen Fortune,1,1,жен,23,3,2,263,Саутгемптон
90,Francesco Celotti,0,3,муж,24,0,0,8.05,Саутгемптон
91,Emil Christmann,0,3,муж,29,0,0,8.05,Саутгемптон
92,Paul Edvin Andreasson,0,3,муж,20,0,0,7.8542,Саутгемптон
93,Herbert Fuller Chaffee,0,1,муж,46,1,0,61.175,Саутгемптон
94,Bertram Frank Dean,0,3,муж,26,1,2,20.575,Саутгемптон
95,Daniel Coxon,0,3,муж,59,0,0,7.25,Саутгемптон
96,Charles Joseph Shorney,0,3,муж,,0,0,8.05,Саутгемптон
97,George B Goldschmidt,0,1,муж,71,0,0,34.6542,Шербур
98,William Bertram Greenfield,1,1,муж,23,0,1,63.3583,Шербур
99,John T Doling,1,2,жен,34,0,1,23,Саутгемптон
100,Sinai Kantor,0,2,муж,34,1,0,26,Саутгемптон
101,Matilda Petranec,0,3,жен,28,0,0,7.8958,Саутгемптон
102,Pastcho Pentcho Petroff,0,3,муж,,0,0,7.8958,Саутгемптон
103,Richard Frasar White,0,1,муж,21,0,1,77.2875,Саутгемптон
104,Gustaf Joel Johansson,0,3,муж,33,0,0,8.6542,Саутгемптон
105,Anders Vilhelm Gustafsson,0,3,муж,37,2,0,7.925,Саутгемптон
106,Stoytcho Mionoff,0,3,муж,28,0,0,7.8958,Саутгемптон
107,Anna Kristine Salkjelsvik,1,3,жен,21,0,0,7.65,Саутгемптон
108,Albert Johan Moss,1,3,муж,,0,0,7.775,Саутгемптон
109,Tido Rekic,0,3,муж,38,0,0,7.8958,Саутгемптон
110,Bertha Moran,1,3,жен,,1,0,24.15,Квинстаун
111,Walter Chamberlain Porter,0,1,муж,47,0,0,52,Саутгемптон
112,Hileni Zabour,0,3,жен,14.5,1,0,14.4542,Шербур
113,David John Barton,0,3,муж,22,0,0,8.05,Саутгемптон
114,Katriina Jussila,0,3,жен,20,1,0,9.825,Саутгемптон
115,Malake Attalah,0,3,жен,17,0,0,14.4583,Шербур
116,Edvard Pekoniemi,0,3,муж,21,0,0,7.925,Саутгемптон
117,Patrick Connors,0,3,муж,70.5,0,0,7.75,Квинстаун
118,William John Turpin,0,2,муж,29,1,0,21,Саутгемптон
119,Quigg Edmond Baxter,0,1,муж,24,0,1,247.5208,Шербур
120,Ellis Anna Andersson,0,3,жен,2,4,2,31.275,Саутгемптон
121,Stanley George Hickman,0,2,муж,21,2,0,73.5,Саутгемптон
122,Leonard Charles Moore,0,3,муж,,0,0,8.05,Саутгемптон
123,Nicholas Nasser,0,2,муж,32.5,1,0,30.0708,Шербур
124,Susan Webber,1,2,жен,32.5,0,0,13,Саутгемптон
125,Percival Wayland White,0,1,муж,54,0,1,77.2875,Саутгемптон
126,Elias Nicola-Yarred,1,3,муж,12,1,0,11.2417,Шербур
127,Martin McMahon,0,3,муж,,0,0,7.75,Квинстаун
128,Fridtjof Arne Madsen,1,3,муж,24,0,0,7.1417,Саутгемптон
129,Anna Peter,1,3,жен,,1,1,22.3583,Шербур
130,Johan Ekstrom,0,3,муж,45,0,0,6.975,Саутгемптон
131,Jozef Drazenoic,0,3,муж,33,0,0,7.8958,Шербур
132,Domingos Fernandeo Coelho,0,3,муж,20,0,0,7.05,Саутгемптон
133,Alexander A Robins,0,3,жен,47,1,0,14.5,Саутгемптон
134,Leopold Mathilde Weisz,1,2,жен,29,1,0,26,Саутгемптон
135,Samuel James Sobey,0,2,муж,25,0,0,13,Саутгемптон
136,Emile Richard,0,2,муж,23,0,0,15.0458,Шербур
137,Helen Monypeny Newsom,1,1,жен,19,0,2,26.2833,Саутгемптон
138,Jacques Heath Futrelle,0,1,муж,37,1,0,53.1,Саутгемптон
139,Olaf Elon Osen,0,3,муж,16,0,0,9.2167,Саутгемптон
140,Victor Giglio,0,1,муж,24,0,0,79.2,Шербур
141,Joseph Sultana Boulos,0,3,жен,,0,2,15.2458,Шербур
142,Anna Sofia Nysten,1,3,жен,22,0,0,7.75,Саутгемптон
143,Pekka Pietari Hakkarainen,1,3,жен,24,1,0,15.85,Саутгемптон
144,Jeremiah Burke,0,3,муж,19,0,0,6.75,Квинстаун
145,Edgardo Samuel Andrew,0,2,муж,18,0,0,11.5,Саутгемптон
146,Joseph Charles Nicholls,0,2,муж,19,1,1,36.75,Саутгемптон
147,August Edvard Andersson,1,3,муж,27,0,0,7.7958,Саутгемптон
148,Robina Maggie Ford,0,3,жен,9,2,2,34.375,Саутгемптон
149,Michel Louis Navratil,0,2,муж,36.5,0,2,26,Саутгемптон
150,Thomas Roussel Byles,0,2,муж,42,0,0,13,Саутгемптон
151,Robert James Bateman,0,2,муж,51,0,0,12.525,Саутгемптон
152,Thomas Edith Pears,1,1,жен,22,1,0,66.6,Саутгемптон
153,Alfonzo Meo,0,3,муж,55.5,0,0,8.05,Саутгемптон
154,Austin Blyler van Billiard,0,3,муж,40.5,0,2,14.5,Саутгемптон
155,Ole Martin Olsen,0,3,муж,,0,0,7.3125,Саутгемптон
156,Charles Duane Williams,0,1,муж,51,0,1,61.3792,Шербур
157,Katherine Katie Gilnagh,1,3,жен,16,0,0,7.7333,Квинстаун
158,Harry Corn,0,3,муж,30,0,0,8.05,Саутгемптон
159,Mile Smiljanic,0,3,муж,,0,0,8.6625,Саутгемптон
160,Thomas Henry Sage,0,3,муж,,8,2,69.55,Саутгемптон
161,John Hatfield Cribb,0,3,муж,44,0,1,16.1,Саутгемптон
162,James Elizabeth Watt,1,2,жен,40,0,0,15.75,Саутгемптон
163,John Viktor Bengtsson,0,3,муж,26,0,0,7.775,Саутгемптон
164,Jovo Calic,0,3,муж,17,0,0,8.6625,Саутгемптон
165,Eino Viljami Panula,0,3,муж,1,4,1,39.6875,Саутгемптон
166,Frank John Goldsmith,1,3,муж,9,0,2,20.525,Саутгемптон
167,Edith Martha Chibnall,1,1,жен,,0,1,55,Саутгемптон
168,William Anna Skoog,0,3,жен,45,1,4,27.9,Саутгемптон
169,John D Baumann,0,1,муж,,0,0,25.925,Саутгемптон
170,Lee Ling,0,3,муж,28,0,0,56.4958,Саутгемптон
171,Wyckoff Van der hoef,0,1,муж,61,0,0,33.5,Саутгемптон
172,Arthur Rice,0,3,муж,4,4,1,29.125,Квинстаун
173,Eleanor Ileen Johnson,1,3,жен,1,1,1,11.1333,Саутгемптон
174,Antti Wilhelm Sivola,0,3,муж,21,0,0,7.925,Саутгемптон
175,James Clinch Smith,0,1,муж,56,0,0,30.6958,Шербур
176,Klas Albin Klasen,0,3,муж,18,1,1,7.8542,Саутгемптон
177,Henry Forbes Lefebre,0,3,муж,,3,1,25.4667,Саутгемптон
178,Ann Elizabeth Isham,0,1,жен,50,0,0,28.7125,Шербур
179,Reginald Hale,0,2,муж,30,0,0,13,Саутгемптон
180,Lionel Leonard,0,3,муж,36,0,0,0,Саутгемптон
181,Constance Gladys Sage,0,3,жен,,8,2,69.55,Саутгемптон
182,Rene Pernot,0,2,муж,,0,0,15.05,Шербур
183,Clarence Gustaf Asplund,0,3,муж,9,4,2,31.3875,Саутгемптон
184,Richard F Becker,1,2,муж,1,2,1,39,Саутгемптон
185,Luise Kink-Heilmann,1,3,жен,4,0,2,22.025,Саутгемптон
186,Hugh Roscoe Rood,0,1,муж,,0,0,50,Саутгемптон
187,Thomas Johanna O'Brien,1,3,жен,,1,0,15.5,Квинстаун
188,Charles Hallace Romaine,1,1,муж,45,0,0,26.55,Саутгемптон
189,John Bourke,0,3,муж,40,1,1,15.5,Квинстаун
190,Stjepan Turcin,0,3,муж,36,0,0,7.8958,Саутгемптон
191,Rosa Pinsky,1,2,жен,32,0,0,13,Саутгемптон
192,William Carbines,0,2,муж,19,0,0,13,Саутгемптон
193,Carla Andersen-Jensen,1,3,жен,19,1,0,7.8542,Саутгемптон
194,Michel M Navratil,1,2,муж,3,1,1,26,Саутгемптон
195,James Joseph Brown,1,1,жен,44,0,0,27.7208,Шербур
196,Elise Lurette,1,1,жен,58,0,0,146.5208,Шербур
197,Robert Mernagh,0,3,муж,,0,0,7.75,Квинстаун
198,Karl Siegwart Olsen,0,3,муж,42,0,1,8.4042,Саутгемптон
199,Margaret Maggie Madigan,1,3,жен,,0,0,7.75,Квинстаун
200,Henriette Mrs Yrois,0,2,жен,24,0,0,13,Саутгемптон
201,Nestor Cyriel Vande Walle,0,3,муж,28,0,0,9.5,Саутгемптон
202,Frederick Sage,0,3,муж,,8,2,69.55,Саутгемптон
203,Jakob Alfred Johanson,0,3,муж,34,0,0,6.4958,Саутгемптон
204,Gerious Youseff,0,3,муж,45.5,0,0,7.225,Шербур
205,Gurshon Gus Cohen,1,3,муж,18,0,0,8.05,Саутгемптон
206,Telma Matilda Strom,0,3,жен,2,0,1,10.4625,Саутгемптон
207,Karl Alfred Backstrom,0,3,муж,32,1,0,15.85,Саутгемптон
208,Nassef Cassem Albimona,1,3,муж,26,0,0,18.7875,Шербур
209,Helen Ellen Carr,1,3,жен,16,0,0,7.75,Квинстаун
210,Henry Blank,1,1,муж,40,0,0,31,Шербур
211,Ahmed Ali,0,3,муж,24,0,0,7.05,Саутгемптон
212,Clear Annie Cameron,1,2,жен,35,0,0,21,Саутгемптон
213,John Henry Perkin,0,3,муж,22,0,0,7.25,Саутгемптон
214,Hans Kristensen Givard,0,2,муж,30,0,0,13,Саутгемптон
215,Philip Kiernan,0,3,муж,,1,0,7.75,Квинстаун
216,Madeleine Newell,1,1,жен,31,1,0,113.275,Шербур
217,Eliina Honkanen,1,3,жен,27,0,0,7.925,Саутгемптон
218,Sidney Samuel Jacobsohn,0,2,муж,42,1,0,27,Саутгемптон
219,Albina Bazzani,1,1,жен,32,0,0,76.2917,Шербур
220,Walter Harris,0,2,муж,30,0,0,10.5,Саутгемптон
221,Victor Francis Sunderland,1,3,муж,16,0,0,8.05,Саутгемптон
222,James H Bracken,0,2,муж,27,0,0,13,Саутгемптон
223,George Henry Green,0,3,муж,51,0,0,8.05,Саутгемптон
224,Christo Nenkoff,0,3,муж,,0,0,7.8958,Саутгемптон
225,Frederick Maxfield Hoyt,1,1,муж,38,1,0,90,Саутгемптон
226,Karl Ivar Berglund,0,3,муж,22,0,0,9.35,Саутгемптон
227,William John Mellors,1,2,муж,19,0,0,10.5,Саутгемптон
228,John Hall Lovell,0,3,муж,20.5,0,0,7.25,Саутгемптон
229,Arne Jonas Fahlstrom,0,2,муж,18,0,0,13,Саутгемптон
230,Mathilde Lefebre,0,3,жен,,3,1,25.4667,Саутгемптон
231,Henry Birkhardt Harris,1,1,жен,35,1,0,83.475,Саутгемптон
232,Bengt Edvin Larsson,0,3,муж,29,0,0,7.775,Саутгемптон
233,Ernst Adolf Sjostedt,0,2,муж,59,0,0,13.5,Саутгемптон
234,Lillian Gertrud Asplund,1,3,жен,5,4,2,31.3875,Саутгемптон
235,Robert William Leyson,0,2,муж,24,0,0,10.5,Саутгемптон
236,Alice Phoebe Harknett,0,3,жен,,0,0,7.55,Саутгемптон
237,Stephen Hold,0,2,муж,44,1,0,26,Саутгемптон
238,Marjorie Lottie Collyer,1,2,жен,8,0,2,26.25,Саутгемптон
239,Frederick William Pengelly,0,2,муж,19,0,0,10.5,Саутгемптон
240,George Henry Hunt,0,2,муж,33,0,0,12.275,Саутгемптон
241,Thamine Zabour,0,3,жен,,1,0,14.4542,Шербур
242,Katherine Kate Murphy,1,3,жен,,1,0,15.5,Квинстаун
243,Reginald Charles Coleridge,0,2,муж,29,0,0,10.5,Саутгемптон
244,Matti Alexanteri Maenpaa,0,3,муж,22,0,0,7.125,Саутгемптон
245,Sleiman Attalah,0,3,муж,30,0,0,7.225,Шербур
246,William Edward Minahan,0,1,муж,44,2,0,90,Квинстаун
247,Agda Thorilda Lindahl,0,3,жен,25,0,0,7.775,Саутгемптон
248,William Anna Hamalainen,1,2,жен,24,0,2,14.5,Саутгемптон
249,Richard Leonard Beckwith,1,1,муж,37,1,1,52.5542,Саутгемптон
250,Ernest Courtenay Carter,0,2,муж,54,1,0,26,Саутгемптон
251,James George Reed,0,3,муж,,0,0,7.25,Саутгемптон
252,Wilhelm Elna Strom,0,3,жен,29,1,1,10.4625,Саутгемптон
253,William Thomas Stead,0,1,муж,62,0,0,26.55,Саутгемптон
254,William Arthur Lobb,0,3,муж,30,1,0,16.1,Саутгемптон
255,Viktor Helena Rosblom,0,3,жен,41,0,2,20.2125,Саутгемптон
256,Darwis Hanne Touma,1,3,жен,29,0,2,15.2458,Шербур
257,Gertrude Maybelle Thorne,1,1,жен,,0,0,79.2,Шербур
258,Gladys Cherry,1,1,жен,30,0,0,86.5,Саутгемптон
259,Anna Ward,1,1,жен,35,0,0,512.3292,Шербур
260,Lutie Davis Parrish,1,2,жен,50,0,1,26,Саутгемптон
261,Thomas Smith,0,3,муж,,0,0,7.75,Квинстаун
262,Edvin Rojj Asplund,1,3,муж,3,4,2,31.3875,Саутгемптон
263,Emil Taussig,0,1,муж,52,1,1,79.65,Саутгемптон
264,William Harrison,0,1,муж,40,0,0,0,Саутгемптон
265,Delia Henry,0,3,жен,,0,0,7.75,Квинстаун
266,David Reeves,0,2,муж,36,0,0,10.5,Саутгемптон
267,Ernesti Arvid Panula,0,3,муж,16,4,1,39.6875,Саутгемптон
268,Ernst Ulrik Persson,1,3,муж,25,1,0,7.775,Саутгемптон
269,William Thompson Graham,1,1,жен,58,0,1,153.4625,Саутгемптон
270,Amelia Bissette,1,1,жен,35,0,0,135.6333,Саутгемптон
271,Alexander Cairns,0,1,муж,,0,0,31,Саутгемптон
272,William Henry Tornquist,1,3,муж,25,0,0,0,Саутгемптон
273,Elizabeth Anne Mellinger,1,2,жен,41,0,1,19.5,Саутгемптон
274,Charles H Natsch,0,1,муж,37,0,1,29.7,Шербур
275,Hanora Nora Healy,1,3,жен,,0,0,7.75,Квинстаун
276,Kornelia Theodosia Andrews,1,1,жен,63,1,0,77.9583,Саутгемптон
277,Augusta Charlotta Lindblom,0,3,жен,45,0,0,7.75,Саутгемптон
278,Francis Frank Parkes,0,2,муж,,0,0,0,Саутгемптон
279,Eric Rice,0,3,муж,7,4,1,29.125,Квинстаун
280,Stanton Rosa Abbott,1,3,жен,35,1,1,20.25,Саутгемптон
281,Frank Duane,0,3,муж,65,0,0,7.75,Квинстаун
282,Nils Johan Olsson,0,3,муж,28,0,0,7.8542,Саутгемптон
283,Alfons de Pelsmaeker,0,3,муж,16,0,0,9.5,Саутгемптон
284,Edward Arthur Dorking,1,3,муж,19,0,0,8.05,Саутгемптон
285,Richard William Smith,0,1,муж,,0,0,26,Саутгемптон
286,Ivan Stankovic,0,3,муж,33,0,0,8.6625,Шербур
287,Theodore de Mulder,1,3,муж,30,0,0,9.5,Саутгемптон
288,Penko Naidenoff,0,3,муж,22,0,0,7.8958,Саутгемптон
289,Masabumi Hosono,1,2,муж,42,0,0,13,Саутгемптон
290,Kate Connolly,1,3,жен,22,0,0,7.75,Квинстаун
291,Ellen Nellie Barber,1,1,жен,26,0,0,78.85,Саутгемптон
292,Dickinson H Bishop,1,1,жен,19,1,0,91.0792,Шербур
293,Rene Jacques Levy,0,2,муж,36,0,0,12.875,Шербур
294,Aloisia Haas,0,3,жен,24,0,0,8.85,Саутгемптон
295,Ivan Mineff,0,3,муж,24,0,0,7.8958,Саутгемптон
296,Ervin G Lewy,0,1,муж,,0,0,27.7208,Шербур
297,Mansour Hanna,0,3,муж,23.5,0,0,7.2292,Шербур
298,Helen Loraine Allison,0,1,жен,2,1,2,151.55,Саутгемптон
299,Adolphe Saalfeld,1,1,муж,,0,0,30.5,Саутгемптон
300,James Helene Baxter,1,1,жен,50,0,1,247.5208,Шербур
301,Anna Katherine Kelly,1,3,жен,,0,0,7.75,Квинстаун
302,Bernard McCoy,1,3,муж,,2,0,23.25,Квинстаун
303,William Cahoone Johnson,0,3,муж,19,0,0,0,Саутгемптон
304,Nora A Keane,1,2,жен,,0,0,12.35,Квинстаун
305,Howard Hugh Williams,0,3,муж,,0,0,8.05,Саутгемптон
306,Hudson Trevor Allison,1,1,муж,0.92,1,2,151.55,Саутгемптон
307,Margaret Fleming,1,1,жен,,0,0,110.8833,Шербур
308,Victor de Penasco,1,1,жен,17,1,0,108.9,Шербур
309,Samuel Abelson,0,2,муж,30,1,0,24,Шербур
310,Laura Mabel Francatelli,1,1,жен,30,0,0,56.9292,Шербур
311,Margaret Bechstein Hays,1,1,жен,24,0,0,83.1583,Шербур
312,Emily Borie Ryerson,1,1,жен,18,2,2,262.375,Шербур
313,William Anna Lahtinen,0,2,жен,26,1,1,26,Саутгемптон
314,Ignjac Hendekovic,0,3,муж,28,0,0,7.8958,Саутгемптон
315,Benjamin Hart,0,2,муж,43,1,1,26.25,Саутгемптон
316,Helmina Josefina Nilsson,1,3,жен,26,0,0,7.8542,Саутгемптон
317,Sinai Miriam Kantor,1,2,жен,24,1,0,26,Саутгемптон
318,Ernest Moraweck,0,2,муж,54,0,0,14,Саутгемптон
319,Mary Natalie Wick,1,1,жен,31,0,2,164.8667,Саутгемптон
320,Frederic Oakley Spedden,1,1,жен,40,1,1,134.5,Шербур
321,Samuel Dennis,0,3,муж,22,0,0,7.25,Саутгемптон
322,Yoto Danoff,0,3,муж,27,0,0,7.8958,Саутгемптон
323,Hilda Mary Slayter,1,2,жен,30,0,0,12.35,Квинстаун
324,Albert Francis Caldwell,1,2,жен,22,1,1,29,Саутгемптон
325,George John Sage,0,3,муж,,8,2,69.55,Саутгемптон
326,Marie Grice Young,1,1,жен,36,0,0,135.6333,Шербур
327,Johan Hansen Nysveen,0,3,муж,61,0,0,6.2375,Саутгемптон
328,Ada E Ball,1,2,жен,36,0,0,13,Саутгемптон
329,Frank John Goldsmith,1,3,жен,31,1,1,20.525,Саутгемптон
330,Jean Gertrude Hippach,1,1,жен,16,0,1,57.9792,Шербур
331,Agnes McCoy,1,3,жен,,2,0,23.25,Квинстаун
332,Austen Partner,0,1,муж,45.5,0,0,28.5,Саутгемптон
333,George Edward Graham,0,1,муж,38,0,1,153.4625,Саутгемптон
334,Leo Edmondus Vander Planke,0,3,муж,16,2,0,18,Саутгемптон
335,Henry William Frauenthal,1,1,жен,,1,0,133.65,Саутгемптон
336,Mitto Denkoff,0,3,муж,,0,0,7.8958,Саутгемптон
337,Thomas Clinton Pears,0,1,муж,29,1,0,66.6,Саутгемптон
338,Elizabeth Margaret Burns,1,1,жен,41,0,0,134.5,Шербур
339,Karl Edwart Dahl,1,3,муж,45,0,0,8.05,Саутгемптон
340,Stephen Weart Blackwell,0,1,муж,45,0,0,35.5,Саутгемптон
341,Edmond Roger Navratil,1,2,муж,2,1,1,26,Саутгемптон
342,Alice Elizabeth Fortune,1,1,жен,24,3,2,263,Саутгемптон
343,Erik Gustaf Collander,0,2,муж,28,0,0,13,Саутгемптон
344,Charles Frederick Sedgwick,0,2,муж,25,0,0,13,Саутгемптон
345,Stanley Hubert Fox,0,2,муж,36,0,0,13,Саутгемптон
346,Amelia Mildred Brown,1,2,жен,24,0,0,13,Саутгемптон
347,Marion Elsie Smith,1,2,жен,40,0,0,13,Саутгемптон
348,Thomas Henry Davison,1,3,жен,,1,0,16.1,Саутгемптон
349,William Loch Coutts,1,3,муж,3,1,1,15.9,Саутгемптон
350,Jovan Dimic,0,3,муж,42,0,0,8.6625,Саутгемптон
351,Nils Martin Odahl,0,3,муж,23,0,0,9.225,Саутгемптон
352,Fletcher Williams-Lambert,0,1,муж,,0,0,35,Саутгемптон
353,Tannous Elias,0,3,муж,15,1,1,7.2292,Шербур
354,Josef Arnold-Franchi,0,3,муж,25,1,0,17.8,Саутгемптон
355,Wazli Yousif,0,3,муж,,0,0,7.225,Шербур
356,Leo Peter Vanden Steen,0,3,муж,28,0,0,9.5,Саутгемптон
357,Elsie Edith Bowerman,1,1,жен,22,0,1,55,Саутгемптон
358,Annie Clemmer Funk,0,2,жен,38,0,0,13,Саутгемптон
359,Mary McGovern,1,3,жен,,0,0,7.8792,Квинстаун
360,Helen Mary Mockler,1,3,жен,,0,0,7.8792,Квинстаун
361,Wilhelm Skoog,0,3,муж,40,1,4,27.9,Саутгемптон
362,Sebastiano del Carlo,0,2,муж,29,1,0,27.7208,Шербур
363,Catherine David Barbara,0,3,жен,45,0,1,14.4542,Шербур
364,Adola Asim,0,3,муж,35,0,0,7.05,Саутгемптон
365,Thomas O'Brien,0,3,муж,,1,0,15.5,Квинстаун
366,Mauritz Nils Adahl,0,3,муж,30,0,0,7.25,Саутгемптон
367,Frank Manley Warren,1,1,жен,60,1,0,75.25,Шербур
368,Mantoura Boulos Moussa,1,3,жен,,0,0,7.2292,Шербур
369,Annie Jermyn,1,3,жен,,0,0,7.75,Квинстаун
370,Leontine Pauline Aubart,1,1,жен,24,0,0,69.3,Шербур
371,George Achilles Harder,1,1,муж,25,1,0,55.4417,Шербур
372,Jakob Alfred Wiklund,0,3,муж,18,1,0,6.4958,Саутгемптон
373,William Thomas Beavan,0,3,муж,19,0,0,8.05,Саутгемптон
374,Sante Ringhini,0,1,муж,22,0,0,135.6333,Шербур
375,Stina Viola Palsson,0,3,жен,3,3,1,21.075,Саутгемптон
