Id,model,year,price_k_rub,transmission,mileage_km,fuelType,l_100km,engineSize,Make
2634,SL CLASS,2019,7906,Automatic,169,Petrol,10.1,5.5,merc
3597,4 Series,2016,1776,Automatic,33289,Diesel,4.3,2,BMW
1692,Yaris,2019,1251,Manual,7681,Petrol,5.9,1.5,toyota
1693,Golf,2016,1116,Manual,92152,Diesel,3.8,1.6,VW
12330,Fiesta,2019,1725,Semi-Auto,5768,Petrol,5.8,1,ford
14704,Golf SV,2018,1572,Manual,37819,Petrol,5.1,1.5,VW
3411,Citigo,2018,913,Manual,20142,Petrol,4.1,1,skoda
7305,3 Series,2018,2324,Semi-Auto,53411,Diesel,5.3,3,BMW
6324,Viva,2018,736,Manual,16121,Petrol,4.6,1,vauxhall
1185,Kodiaq,2019,3189,Manual,4870,Diesel,5.4,2,skoda
1129,I20,2016,650,Manual,73659,Petrol,4.7,1.2,hyundi
7801,Mokka X,2019,1299,Manual,16513,Petrol,7.2,1.4,vauxhall
9212,Polo,2017,1319,Semi-Auto,20785,Petrol,4.7,1.2,VW
4266,Aygo,2017,964,Manual,32187,Petrol,4.1,1,toyota
4347,3 Series,2017,1726,Semi-Auto,36434,Petrol,5.8,2,BMW
1078,Octavia,2019,1390,Semi-Auto,27768,Diesel,3.9,1.6,skoda
9860,Fiesta,2017,842,Manual,35056,Petrol,5.2,1.2,ford
858,Golf,2019,2181,Automatic,5633,Petrol,6.2,1.5,VW
4403,Astra,2018,1096,Manual,3758,Petrol,5.5,1.4,vauxhall
13184,Insignia,2016,853,Manual,71646,Diesel,4.1,1.6,vauxhall
4029,Golf,2018,2334,Automatic,15260,Hybrid,1.7,1.4,VW
310,Kona,2018,1319,Manual,18440,Petrol,5.4,1,hyundi
556,Grand Tourneo Connect,2018,1623,Automatic,15266,Diesel,5.0,1.5,ford
9640,Mondeo,2020,2132,Manual,11,Diesel,4.3,2,ford
2799,Golf,2017,2131,Manual,68526,Petrol,7.1,2,VW
5484,Astra,2016,710,Manual,62764,Diesel,3.7,1.6,vauxhall
10062,6 Series,2016,1873,Automatic,52221,Diesel,5.5,3,BMW
2837,A Class,2019,1876,Semi-Auto,33753,Diesel,4.3,1.5,merc
7380,Polo,2015,863,Manual,72338,Diesel,3.4,1.4,VW
1797,A6,2019,4455,Semi-Auto,14058,Diesel,7.5,3,Audi
5348,GLA Class,2020,3044,Semi-Auto,3236,Petrol,7.9,1.6,merc
2937,I10,2018,669,Manual,52530,Petrol,4.7,1,hyundi
7775,Mokka X,2017,1198,Manual,34689,Petrol,6.0,1.4,vauxhall
1720,I10,2016,711,Manual,34792,Petrol,4.9,1.2,hyundi
7309,Mokka,2015,782,Manual,93810,Diesel,4.1,1.6,vauxhall
3624,C Class,2019,2365,Semi-Auto,24642,Diesel,4.6,2,merc
8384,E Class,2018,5659,Semi-Auto,6442,Petrol,8.8,4,merc
301,A4,2018,1978,Semi-Auto,16,Petrol,5.3,1.4,Audi
420,RAV4,2017,2230,Automatic,59961,Hybrid,5.1,2.5,toyota
15019,CC,2015,1319,Semi-Auto,52912,Diesel,5.0,2,VW
4814,Golf,2016,994,Manual,107620,Diesel,4.1,2,VW
650,Superb,2019,2010,Semi-Auto,13378,Petrol,7.7,1.5,skoda
9683,Polo,2016,1066,Manual,14996,Petrol,4.7,1.2,VW
12505,M Class,2015,2081,Automatic,71662,Diesel,7.2,2.1,merc
3112,Corsa,2015,609,Manual,67436,Petrol,5.2,1.4,vauxhall
6561,A Class,2018,2091,Semi-Auto,8681,Diesel,4.1,2.1,merc
9874,3 Series,2002,304,Manual,196051,Petrol,9.6,2.5,BMW
9803,Polo,2018,1319,Manual,23492,Petrol,4.5,1,VW
12130,Grandland X,2019,1878,Manual,9812,Petrol,6.4,1.2,vauxhall
17788,Kuga,2019,1675,Manual,21369,Diesel,5.2,1.5,ford
4831,Citigo,2017,659,Manual,68679,Petrol,4.4,1,skoda
944,Corsa,2016,780,Manual,33313,Petrol,5.1,1.4,vauxhall
9556,Mokka X,2018,1218,Manual,48237,Petrol,7.2,1.4,vauxhall
11085,Ka+,2019,1213,Manual,77,Petrol,5.9,1.2,ford
3853,5 Series,2017,1929,Semi-Auto,77984,Diesel,4.1,2,BMW
10871,Zafira,2019,1061,Automatic,46439,Diesel,6.1,2,vauxhall
3411,X5,2017,3349,Automatic,50694,Diesel,6.0,3,BMW
12790,Up,2020,1066,Manual,161,Petrol,5.2,1,VW
3987,CLS Class,2019,4114,Semi-Auto,8132,Diesel,5.8,2.9,merc
12865,Insignia,2018,1507,Manual,42770,Diesel,4.3,1.6,vauxhall
5068,Aygo,2017,884,Manual,25791,Petrol,4.1,1,toyota
7953,A Class,2018,1791,Semi-Auto,24113,Diesel,4.1,2.1,merc
9090,Mokka X,2019,1420,Manual,18541,Petrol,7.2,1.4,vauxhall
8176,Mokka X,2018,1369,Manual,12105,Petrol,7.2,1.4,vauxhall
3558,Auris,2016,1238,Automatic,62026,Hybrid,3.9,1.8,toyota
5223,Astra,2014,538,Manual,115583,Petrol,6.3,1.6,vauxhall
9597,Q3,2019,2892,Manual,16,Diesel,6.6,2,Audi
3842,Golf,2019,1562,Manual,10514,Petrol,5.7,1,VW
6722,A Class,2019,2264,Semi-Auto,4426,Diesel,4.3,1.5,merc
12275,Up,2016,807,Manual,31744,Petrol,4.4,1,VW
898,Kona,2019,1499,Manual,5958,Petrol,6.4,1,hyundi
9972,A Class,2018,2233,Automatic,8959,Petrol,5.3,1.3,merc
1023,Octavia,2018,1289,Manual,22922,Diesel,4.1,1.6,skoda
2301,Corsa,2019,990,Manual,23509,Petrol,6.5,1.4,vauxhall
4103,Astra,2017,1015,Manual,58831,Diesel,3.9,1.6,vauxhall
4468,Golf,2016,1166,Manual,125529,Diesel,4.2,2,VW
2157,Tucson,2018,1462,Manual,27821,Diesel,4.6,1.7,hyundi
4780,I40,2016,1177,Manual,28661,Diesel,4.3,1.7,hyundi
7382,4 Series,2015,1370,Automatic,110702,Diesel,4.3,2,BMW
9796,5 Series,2019,2922,Automatic,6260,Diesel,4.7,2,BMW
8996,Mokka X,2018,1339,Semi-Auto,27359,Petrol,6.5,1.4,vauxhall
4252,A4,2019,3233,Semi-Auto,8602,Diesel,6.4,2,Audi
8358,A1,2017,1250,Manual,43476,Petrol,5.1,1.4,Audi
1675,Kamiq,2019,2131,Semi-Auto,4529,Petrol,6.5,1.5,skoda
7788,Fiesta,2015,690,Manual,55971,Petrol,4.3,1,ford
10510,A Class,2015,1116,Automatic,113573,Diesel,4.1,1.5,merc
7979,C Class,2019,2879,Semi-Auto,9720,Petrol,6.4,2,merc
2105,C Class,2017,1757,Automatic,23117,Petrol,5.3,2,merc
5043,Q2,2017,1877,Manual,22531,Petrol,5.4,1.4,Audi
886,Yaris,2017,1045,Manual,25267,Petrol,4.8,1.5,toyota
17003,KA,2018,834,Manual,24428,Petrol,4.9,1.2,ford
10905,Tiguan,2020,2943,Manual,3219,Diesel,5.9,2,VW
5151,A3,2019,2331,Manual,9656,Petrol,6.5,1.5,Audi
4126,B-MAX,2017,1015,Manual,11261,Petrol,6.0,1.4,ford
12226,A Class,2017,1523,Automatic,39422,Diesel,3.8,1.5,merc
3966,Fabia,2019,1147,Manual,7644,Petrol,5.5,1,skoda
1756,Tucson,2017,1370,Semi-Auto,53372,Diesel,4.9,1.7,hyundi
10195,Crossland X,2020,1827,Manual,16,Petrol,6.0,1.2,vauxhall
3178,Golf,2016,1979,Semi-Auto,45871,Petrol,7.0,2,VW
1880,5 Series,2014,1573,Semi-Auto,57650,Diesel,5.5,3,BMW
15196,Fiesta,2016,760,Manual,53108,Petrol,5.2,1.2,ford
11886,Sharan,2018,2111,Manual,12426,Petrol,8.0,1.4,VW
3121,X5,2019,5177,Semi-Auto,5691,Petrol,10.4,3,BMW
6898,A3,2015,2121,Semi-Auto,52464,Petrol,6.9,2,Audi
1659,Yaris,2018,1105,Manual,24082,Petrol,4.8,1.5,toyota
323,X4,2015,1978,Manual,86510,Diesel,5.4,2,BMW
3003,C Class,2020,3297,Semi-Auto,26,Diesel,4.4,2,merc
4103,GLA Class,2020,2527,Semi-Auto,6238,Petrol,6.3,1.6,merc
503,RAV4,2013,1218,Manual,47387,Diesel,5.7,2.2,toyota
4425,Aygo,2018,833,Manual,17682,Petrol,4.1,1,toyota
788,I10,2018,760,Manual,15823,Petrol,4.7,1,hyundi
5562,Astra,2016,913,Manual,62764,Diesel,3.9,1.6,vauxhall
4064,GLC Class,2019,3627,Automatic,13237,Diesel,6.9,2,merc
1426,X2,2019,2630,Manual,243,Diesel,5.3,2,BMW
6444,Viva,2015,588,Manual,24253,Petrol,4.5,1,vauxhall
15310,Kuga,2017,1421,Manual,53734,Diesel,4.4,1.5,ford
1066,C Class,2015,1370,Manual,23303,Petrol,5.3,2,merc
8322,Polo,2013,761,Manual,70961,Petrol,5.5,1.2,VW
9215,Polo,2016,1065,Manual,37015,Petrol,4.7,1.2,VW
1728,Grand C-MAX,2016,1191,Manual,53108,Diesel,4.4,1.5,ford
7229,Puma,2020,3045,Manual,241,Petrol,5.6,1,ford
5431,CL Class,2017,1559,Manual,81663,Diesel,4.3,2.1,merc
7312,A3,2017,1573,Manual,67592,Petrol,5.6,2,Audi
2104,C Class,2017,2032,Semi-Auto,56671,Diesel,4.4,2.1,merc
6269,Viva,2016,608,Manual,22175,Petrol,4.5,1,vauxhall
8656,Q2,2019,2533,Automatic,5721,Petrol,6.7,1.5,Audi
4137,Fiesta,2015,913,Manual,25959,Petrol,4.3,1,ford
3947,Aygo,2019,944,Manual,8047,Petrol,4.9,1,toyota
86,A Class,2018,1849,Automatic,16674,Diesel,4.1,1.5,merc
3803,Golf,2016,1218,Manual,34404,Petrol,5.3,1.4,VW
5081,X3,2019,3756,Semi-Auto,7232,Diesel,5.8,3,BMW
5906,RS5,2019,5725,Semi-Auto,3973,Petrol,9.5,2.9,Audi
124,Fabia,2019,1166,Manual,11,Petrol,5.5,1,skoda
2554,A Class,2015,1776,Semi-Auto,22886,Diesel,4.8,2.1,merc
3528,Astra,2017,1147,Semi-Auto,40872,Petrol,5.5,1.4,vauxhall
814,Golf,2019,2131,Manual,12358,Petrol,6.2,1.5,VW
14764,B-MAX,2015,741,Automatic,59893,Petrol,6.4,1.6,ford
6253,Prius,2019,2842,Automatic,16053,Hybrid,1.3,1.8,toyota
12666,Ka+,2017,771,Manual,12886,Petrol,4.9,1.2,ford
10269,Crossland X,2019,1218,Manual,19417,Diesel,4.5,1.5,vauxhall
499,Corsa,2019,964,Manual,15216,Petrol,6.5,1.4,vauxhall
10250,Tiguan,2019,2081,Manual,33035,Diesel,5.9,2,VW
3646,Auris,2017,1613,Automatic,53556,Hybrid,3.6,1.8,toyota
1744,M2,2019,4893,Automatic,2414,Petrol,9.7,3,BMW
8768,Q3,2013,1391,Semi-Auto,65194,Diesel,5.9,2,Audi
9669,M Class,2010,913,Automatic,205996,Diesel,8.7,3,merc
2193,3 Series,2019,2434,Semi-Auto,2396,Petrol,5.9,2,BMW
10568,Q3,2016,1852,Automatic,61533,Diesel,5.6,2,Audi
5279,Golf,2016,1320,Automatic,102990,Diesel,4.5,2,VW
3397,I10,2017,721,Manual,32954,Petrol,4.9,1.2,hyundi
525,Corsa,2013,517,Manual,64695,Petrol,5.5,1.4,vauxhall
10346,Focus,2019,2069,Manual,10034,Diesel,4.0,2,ford
13070,Fiesta,2018,1238,Manual,35969,Petrol,4.5,1,ford
4013,Octavia,2019,1553,Manual,9656,Diesel,4.1,1.6,skoda
6181,2 Series,2019,2335,Semi-Auto,9194,Petrol,5.6,1.5,BMW
5825,Passat,2019,2588,Semi-Auto,5634,Diesel,5.7,2,VW
17574,Focus,2015,761,Manual,67773,Petrol,4.6,1,ford
12530,Up,2016,741,Semi-Auto,25389,Petrol,4.4,1,VW
7233,Kuga,2019,1827,Manual,20838,Diesel,7.4,2,ford
12468,Insignia,2017,1197,Manual,83808,Diesel,4.3,1.6,vauxhall
5606,TT,2016,3334,Semi-Auto,68926,Petrol,8.3,2.5,Audi
4411,Aygo,2017,625,Manual,31607,Petrol,4.1,1,toyota
1309,Focus,2019,1481,Manual,5871,Petrol,4.8,1,ford
8504,Polo,2018,1264,Manual,19582,Petrol,5.4,1,VW
4002,5 Series,2019,3145,Automatic,3840,Diesel,4.3,2,BMW
5982,C-HR,2019,2639,Automatic,7743,Hybrid,3.8,1.8,toyota
5019,Yeti,2016,1370,Semi-Auto,21172,Petrol,5.5,1.2,skoda
7088,1 Series,2016,1914,Semi-Auto,34899,Diesel,4.7,2,BMW
3745,Astra,2016,1015,Manual,42012,Petrol,5.5,1.4,vauxhall
711,T-Roc,2019,3131,Automatic,3058,Petrol,8.7,2,VW
1225,Golf,2017,1167,Manual,48380,Diesel,3.8,1.6,VW
2085,Golf,2017,2182,Semi-Auto,16164,Petrol,6.4,2,VW
9086,E Class,2019,3725,Semi-Auto,18829,Diesel,5.8,3,merc
10617,Zafira,2014,781,Manual,75288,Petrol,6.6,1.4,vauxhall
12371,Up,2014,620,Manual,32045,Petrol,4.5,1,VW
1340,I10,2017,710,Manual,30146,Petrol,4.7,1,hyundi
4694,1 Series,2019,2131,Semi-Auto,22437,Diesel,4.7,2,BMW
7829,A3,2015,1398,Semi-Auto,56306,Petrol,4.7,1.4,Audi
4678,Astra,2014,521,Manual,99787,Petrol,5.9,1.4,vauxhall
2236,Golf,2019,1708,Manual,17944,Petrol,6.0,1.5,VW
2233,GLS Class,2016,4238,Automatic,49001,Diesel,7.6,3,merc
3619,A6,2016,1979,Manual,41389,Diesel,4.8,2,Audi
5821,C-HR,2019,2554,Automatic,25317,Hybrid,3.8,1.8,toyota
3748,A3,2019,1827,Manual,7242,Diesel,5.7,1.6,Audi
4189,Aygo,2017,810,Semi-Auto,24847,Petrol,4.2,1,toyota
680,Focus,2016,1472,Manual,26556,Diesel,4.2,2,ford
570,3 Series,2019,2710,Semi-Auto,13314,Diesel,5.8,2,BMW
7576,A6,2017,1827,Automatic,77066,Diesel,4.4,2,Audi
6340,GLE Class,2016,2669,Semi-Auto,44410,Diesel,6.6,3,merc
4748,A8,2018,3958,Automatic,4007,Petrol,7.5,3,Audi
6386,Fiesta,2017,964,Manual,35908,Petrol,4.3,1,ford
2155,C Class,2019,2823,Automatic,10655,Diesel,4.6,2,merc
994,Golf,2018,2029,Manual,35003,Diesel,4.7,2,VW
3197,Auris,2017,1713,Automatic,43541,Hybrid,3.6,1.8,toyota
4066,A Class,2019,2638,Automatic,7784,Petrol,5.3,1.3,merc
760,Corsa,2013,457,Manual,111785,Petrol,5.5,1.2,vauxhall
8253,A4,2015,1147,Manual,125220,Diesel,4.4,2,Audi
662,4 Series,2019,2233,Semi-Auto,26741,Diesel,4.3,2,BMW
6945,Polo,2015,812,Manual,39435,Petrol,4.7,1,VW
3525,Golf,2019,2325,Semi-Auto,19673,Diesel,5.7,2,VW
8166,5 Series,2007,657,Automatic,120700,Diesel,7.9,2.5,BMW
5764,GLE Class,2019,4669,Automatic,10461,Diesel,7.7,2,merc
8714,Polo,2019,1411,Manual,4023,Petrol,5.8,1,VW
5084,Astra,2016,812,Manual,82728,Diesel,3.6,1.6,vauxhall
14665,Focus,2019,1979,Automatic,2446,Diesel,4.4,2,ford
447,Corsa,2017,1066,Automatic,27946,Petrol,5.9,1.4,vauxhall
3185,Corsa,2013,537,Manual,19312,Petrol,5.5,1.2,vauxhall
55,A3,2015,1523,Automatic,90591,Petrol,6.6,1.8,Audi
3571,Auris,2017,1812,Automatic,21203,Hybrid,3.6,1.8,toyota
4723,Golf,2015,1015,Automatic,70356,Diesel,4.2,1.6,VW
687,A1,2017,1319,Manual,26977,Petrol,5.1,1.4,Audi
12109,Grandland X,2019,1877,Manual,13221,Diesel,5.0,1.5,vauxhall
4872,Golf,2014,938,Manual,55004,Petrol,5.3,1.4,VW
11391,X-CLASS,2019,3958,Automatic,12875,Diesel,9.0,3,merc
9457,Mokka X,2018,1167,Manual,35040,Petrol,6.0,1.4,vauxhall
14872,Tiguan Allspace,2019,3298,Automatic,10692,Petrol,9.2,2,VW
3691,E Class,2018,2918,Semi-Auto,19816,Diesel,5.5,3,merc
2049,Octavia,2019,2385,Automatic,14342,Petrol,7.4,2,skoda
429,Corsa,2017,689,Manual,44819,Petrol,5.1,1.4,vauxhall
2621,A4,2017,2232,Semi-Auto,41478,Petrol,6.5,2,Audi
13674,Touareg,2017,2740,Semi-Auto,42705,Diesel,6.6,3,VW
3804,Kamiq,2019,2076,Semi-Auto,1611,Petrol,6.2,1,skoda
10445,Fiesta,2017,1065,Manual,14484,Petrol,4.3,1,ford
8581,C Class,2016,2050,Semi-Auto,55361,Diesel,4.2,2.1,merc
1818,Corsa,2016,608,Manual,87244,Petrol,5.1,1.4,vauxhall
11568,Tiguan,2019,2284,Manual,6495,Diesel,5.9,2,VW
12087,Fiesta,2018,1714,Semi-Auto,10300,Petrol,5.8,1,ford
5319,B Class,2019,2334,Manual,272,Petrol,6.3,1.3,merc
1301,Fiesta,2014,678,Manual,62962,Diesel,3.7,1.5,ford
7933,A Class,2018,1726,Semi-Auto,13982,Petrol,5.7,1.6,merc
16590,Fiesta,2014,670,Manual,61504,Petrol,5.2,1.2,ford
2760,Yaris,2017,1308,Automatic,23870,Hybrid,3.7,1.5,toyota
7797,C Class,2020,3990,Semi-Auto,1609,Diesel,6.1,2,merc
1326,Golf,2019,1775,Semi-Auto,21427,Petrol,6.2,1,VW
2427,Tucson,2016,1319,Manual,33325,Petrol,6.3,1.6,hyundi
205,T-Roc,2018,1851,Manual,28474,Petrol,5.1,1,VW
3336,Focus,2018,1765,Manual,19275,Petrol,6.8,2,ford
5774,GLE Class,2017,3025,Semi-Auto,11388,Diesel,5.9,2.1,merc
4914,3 Series,2016,1928,Semi-Auto,72565,Diesel,5.5,3,BMW
10837,Tiguan,2014,1066,Semi-Auto,87400,Diesel,5.9,2,VW
8025,Q3,2017,1599,Manual,67217,Petrol,5.5,1.4,Audi
2562,Focus,2016,912,Manual,90123,Diesel,3.8,1.5,ford
8925,3 Series,2010,386,Manual,252345,Diesel,4.8,2,BMW
12368,Insignia,2016,944,Manual,72078,Diesel,4.1,1.6,vauxhall
9760,Fiesta,2016,1014,Manual,85295,Petrol,5.9,1.6,ford
1193,I30,2018,1367,Semi-Auto,21258,Diesel,4.1,1.6,hyundi
4581,Golf,2016,1045,Manual,170590,Diesel,4.5,2,VW
8822,Fiesta,2016,986,Manual,34301,Petrol,4.5,1,ford
5403,3 Series,2019,2989,Semi-Auto,8678,Diesel,5.4,2,BMW
9849,X6,2017,3654,Automatic,51388,Petrol,9.7,4.4,BMW
5168,Superb,2013,883,Manual,74030,Diesel,4.6,2,skoda
5751,X1,2016,2081,Semi-Auto,30594,Diesel,4.9,2,BMW
663,Q3,2017,1827,Manual,48478,Petrol,5.5,1.4,Audi
2570,Octavia,2018,1522,Automatic,4023,Petrol,4.8,1,skoda
10888,Tiguan,2017,1826,Semi-Auto,52286,Diesel,4.9,2,VW
